unidades capa1;unidades capa2;ratio de dropout;promedio MCC general;promedio MCC (Simple-1-1P);mejor MCC (Simple-1-1P);promedio MCC (Simple-1-1P-Nois025);mejor MCC (Simple-1-1P-Nois025);promedio MCC (Simple-1-1P-Nois05);mejor MCC (Simple-1-1P-Nois05);promedio MCC (Simple-1-1P-Nois10);mejor MCC (Simple-1-1P-Nois10);promedio MCC (Simple-1-1P-Nois20);mejor MCC (Simple-1-1P-Nois20);promedio MCC (Simple-2P);mejor MCC (Simple-2P);promedio MCC (Simple-2P-Nois025);mejor MCC (Simple-2P-Nois025);promedio MCC (Simple-2P-Nois05);mejor MCC (Simple-2P-Nois05);promedio MCC (Simple-2P-Nois10);mejor MCC (Simple-2P-Nois10);promedio MCC (Simple-2P-Nois20);mejor MCC (Simple-2P-Nois20);promedio MCC (Comb-1-1P);mejor MCC (Comb-1-1P);promedio MCC (Comb-1-1P-Nois025);mejor MCC (Comb-1-1P-Nois025);promedio MCC (Comb-1-1P-Nois05);mejor MCC (Comb-1-1P-Nois05);promedio MCC (Comb-1-1P-Nois10);mejor MCC (Comb-1-1P-Nois10);promedio MCC (Comb-1-1P-Nois20);mejor MCC (Comb-1-1P-Nois20);promedio MCC (Comb-2P);mejor MCC (Comb-2P);promedio MCC (Comb-2P-Nois025);mejor MCC (Comb-2P-Nois025);promedio MCC (Comb-2P-Nois05);mejor MCC (Comb-2P-Nois05);promedio MCC (Comb-2P-Nois10);mejor MCC (Comb-2P-Nois10);promedio MCC (Comb-2P-Nois20);mejor MCC (Comb-2P-Nois20)
25;15;0,2;0,7275390409044177;0,9303682073715361;0,9842191717481008;0,8583782834900977;0,9696715591736488;0,7745905589344503;0,913404120182362;0,6868730720863939;0,8747168754268075;0,5147369729766943;0,7806156191096005;0,888930549259895;0,9904497571935788;0,832494281942513;0,9518563149979324;0,7775945922823028;0,9324846462269688;0,670569193674962;0,8562355548657703;0,4751739714350501;0,7195623379544289;0,8811298375036926;0,9870355166270454;0,8193824452939641;0,955566328068074;0,7587353139547924;0,9307104736484824;0,6612365864434845;0,8418187037266316;0,5084054792591433;0,7606140012299193;0,8557703281369108;0,9966777781962424;0,8029327959310841;0,9733299319860474;0,7480968945689271;0,9536710002774234;0,6196073659281827;0,8461444970802487;0,48577408761427615;0,7057461162588854
25;15;0,3;0,7248944239280297;0,9260954614109304;0,9833857084936692;0,8480092885529994;0,9692276341648528;0,7724962068299592;0,913398050564448;0,6723629856677634;0,871577375913039;0,5113530293040242;0,7802824987386453;0,8947788110579317;0,9849810566549452;0,8313956658812728;0,9527069324631894;0,7821539734037496;0,9334931140494168;0,6636938102513291;0,8539295451459559;0,47397330890709016;0,7153452391368186;0,8797992628054863;0,9877962732067416;0,823569067271;0,9567039005559912;0,7532645136123504;0,9385925602289902;0,6598679373061636;0,8388186669592314;0,5121787291380612;0,7559462436275307;0,8402169054961709;0,9952523578735952;0,8058291392024558;0,9698984231773832;0,7511191438573886;0,9519200268552576;0,6206402887613653;0,843747256944725;0,4750909498431038;0,7085606539094249
25;10;0,2;0,719229727838332;0,9139150614445037;0,9833857084936692;0,8403806681000106;0,9699429978669268;0,7682455678649738;0,9143640558670588;0,6641314863384494;0,8713428717617573;0,5058198025344427;0,7771265936845115;0,8806658020652789;0,9863567959908272;0,8166775962362408;0,9510169109871172;0,7796978794647375;0,9342281677459684;0,6542657469971142;0,8540956536639708;0,4773804759555721;0,7238214838306857;0,8766548427327127;0,9854911971164751;0,8202664767867435;0,9555673292519694;0,7460094349109242;0,9323141582412372;0,6626556178316789;0,8447515039505007;0,5062271538163071;0,7575042670968963;0,8453167748834021;0,9933513416755592;0,7940943657810732;0,9718293888062391;0,7409425169694427;0,954110348201218;0,6159177916887211;0,8399968139189458;0,4753294943643103;0,7040258084676159
25;10;0,3;0,716932181088236;0,9183780248609227;0,9858860982569638;0,8312419212066582;0,9749985847386402;0,7622553670350912;0,9118909949635676;0,6716090902380214;0,872334336237649;0,5028512422467692;0,7776666480367262;0,8777005629972295;0,9877096974567796;0,8207079988527225;0,9538382356499204;0,7662040091476213;0,9345052828974298;0,6622563006801092;0,8497069221989353;0,4698204969129838;0,7133498586592321;0,867513713893913;0,9862702426876178;0,8150275068000096;0,9551841789730358;0,747936170652743;0,938620389943898;0,6559475066007813;0,8410123126741343;0,4953974049319986;0,7531053925673444;0,8400404042622859;0,995726563884191;0,7975228336427638;0,9703669824318434;0,7470773197972821;0,9521604447395928;0,616806118417927;0,8427071487426895;0,47234962858688817;0,7029660584424519
25;5;0,2;0,6993302987085653;0,8926352983709497;0,9842191717481008;0,8102050558597156;0,9701010801632568;0,7273082809995947;0,9152472726830564;0,6380798798459288;0,8718565986149877;0,4818498920743592;0,7708733757914048;0,8567955941218693;0,9884424029356608;0,7980024581595694;0,9509940398082136;0,7403582678833858;0,9327787187208456;0,6432697224821434;0,8558880104765176;0,46124692345569046;0,70376278439798;0,8668364268850636;0,9847165550016342;0,8006301798235831;0,9548071613592122;0,7395128994400584;0,9338430971783194;0,6517708206837466;0,8420917466904221;0,4966827714076566;0,757370676701816;0,8202057694346964;0,9957237615933318;0,7711789010388145;0,969402998311428;0,724870850458945;0,9494931280370044;0,6029715736559045;0,8451055274739696;0,462194408089634;0,6913482190614422
25;5;0,3;0,6962145004872632;0,8643473652295196;0,9850471376443024;0,804039870157269;0,9741439616315364;0,7303470706511874;0,9148097957450458;0,6241624141650575;0,8679938491372777;0,48653383945972023;0,7783396743379543;0,8439087795166614;0,9877211163917444;0,794781045904862;0,951859111152458;0,7497362723890476;0,9299169155206934;0,6465066745892505;0,8554238683480222;0,4556016583768692;0,7065937496772544;0,8569319581951726;0,9900920950250244;0,8131949170376462;0,9544252228540298;0,7354579523886372;0,936181365924751;0,6460145287001067;0,8359785493333771;0,49549618516032723;0,7530314082713689;0,8182598949877223;0,9923973185440907;0,7721255729322843;0,970375518517451;0,7166289450213628;0,948492282566862;0,6038759756904801;0,8383891180202474;0,4663390891920814;0,6898472920317967
20;15;0,2;0,7194474019530469;0,9288034758790521;0,9850414953908696;0,8474694414879327;0,9687933302968644;0,7672846060590163;0,9134101683246364;0,6760066710733561;0,8691318236568073;0,5098201947169404;0,7792071300159457;0,8837157040261769;0,9904497571935788;0,8161670889683709;0,9515822150020076;0,7634914491662204;0,9324858795309948;0,6587430331056936;0,8540298272188795;0,46782027519167674;0,7168373257825682;0,8705558699990696;0,9862375025502388;0,817479379474694;0,9548025929530256;0,7518944477740086;0,9240272491273208;0,6616132191932488;0,8397716655325584;0,4922311447228228;0,7521893695697967;0,8462011528949022;0,9914475001352232;0,8000076683447841;0,9710282429503004;0,7392986730670013;0,9509252046314564;0,614098608774916;0,84345287306184;0,4762459351410537;0,7017685166551054
20;15;0,3;0,7194684408597759;0,9141868301947507;0,9850526350025324;0,8534245800193594;0,96967219135536;0,76040039739242;0,9111382115050726;0,6677476708748774;0,8690586316973098;0,5070997053216864;0,7759912082804801;0,8939036169548734;0,988441025737145;0,823082591041134;0,9510048902288682;0,7777945420034919;0,9327880936013913;0,6506764056521249;0,8534005758422273;0,4714220660880498;0,7125743977334726;0,8732384953213514;0,9893223037258652;0,8184011646740958;0,9551803464504304;0,7504096176012179;0,9337731990334676;0,6596995457022866;0,8350897814293428;0,4945404172680803;0,7540749655059746;0,8403295445316433;0,9952551601644548;0,8007297684270129;0,9703630582931574;0,7462000691746968;0,9512160767258806;0,6145040302133578;0,8386961990054049;0,47157775873900765;0,7040381433456364
20;10;0,2;0,7111673283422604;0,9234713376751194;0,9850526350025324;0,8368003647022746;0,9688137590849314;0,7560306111037225;0,9179635656194453;0,6640485389386726;0,8729878703359866;0,5021741461634105;0,7732209006829267;0,8768774727729493;0,9863567959908272;0,8163991271188571;0,952425647470436;0,7662186673533944;0,9324826653796852;0,6460083048025939;0,8507770024396877;0,45814271827638425;0,7125793804388441;0,8634277468909367;0,9877916460707498;0,805363272343285;0,9544240306355934;0,7450537018139441;0,9281307459955734;0,6448786515752971;0,8392292946533934;0,48934041008627077;0,7434433799908406;0,8347726155007659;0,9947767619982064;0,7868921047299301;0,9709163207759716;0,7313122356698797;0,947786514966232;0,6020102011503438;0,8401218805529431;0,4741243381771741;0,6916769704493021
20;10;0,3;0,7098954277224618;0,9099857455822066;0,9867085667949352;0,8389878752665983;0,9707787002752806;0,7541593624606237;0,9102289349417456;0,6705870306303428;0,8692089133051448;0,4968019045944866;0,7742018065145322;0,8827884099657264;0,9900991321810672;0,8162795972640686;0,951861415343306;0,7644957942415793;0,929191099196778;0,6500418940090857;0,8513142345292495;0,46742239928599094;0,7137949191771503;0,8555810287404072;0,9900738060335778;0,815669540865145;0,954042390564104;0,7336243075808275;0,9378075118637036;0,6533552292796589;0,8362975454921516;0,4836471737934019;0,745904179715624;0,8286023896541101;0,99524531781437;0,785087962485326;0,9727726746245672;0,7311158998026964;0,949230868343425;0,600452757765538;0,8422455339704291;0,4592222511814181;0,6978375832491699
20;5;0,2;0,6921072675669138;0,891924711000573;0,9842191717481008;0,8272240775301439;0,9696663833717306;0,7464101952633546;0,9106935469119392;0,646327316997242;0,8667577734021485;0,474531794385741;0,7756311923489949;0,8509897412743604;0,9877096974567796;0,7833511669176408;0,9529878042095016;0,7366703671982021;0,9290483024254752;0,6258242736129914;0,8553746048165672;0,4504922573966207;0,7117043443739585;0,8454194338226007;0,9885615471461692;0,7931892570205583;0,9529038638113748;0,7285324895558358;0,9265498484823118;0,6362339854035955;0,8426596729698513;0,485560604262119;0,7438777156618241;0,8084815363903858;0,9928728978965976;0,760565575837359;0,97036908976783;0,7117754409730058;0,9531413423295166;0,5858232233272704;0,8369019203887025;0,4528179031686756;0,6893836401855825
20;5;0,3;0,6917374823413108;0,8977047385860409;0,9850526350025324;0,8183668330518334;0,970098844324054;0,723316162557508;0,912051746917103;0,6380746694622845;0,865545984487287;0,47000740949987513;0,7733124533474847;0,8605352593493418;0,9890854367926618;0,780003950545366;0,9512911913872102;0,7321003916028057;0,9284548095482066;0,6227846316197378;0,8481575900868519;0,4483742160624578;0,7075069218046904;0,8514675355430928;0,9885570297864376;0,7897319902096035;0,9536635249007248;0,7292058600538308;0,9305906760682447;0,6392653186208247;0,8371396094364487;0,4783127652409595;0,7453864025459981;0,819893908045524;0,9933499743720388;0,7828518810851095;0,9721042937833954;0,711483650245529;0,9475371275825624;0,5936338141500619;0,838417970856517;0,4476346612944286;0,687862159504893
15;15;0,2;0,7058931582127511;0,9249786447311118;0,9858860982569638;0,8308799138744464;0,9683696458912884;0,7559127079236793;0,907529412265868;0,6639429131589494;0,8621575900540271;0,49010795254405554;0,7746179489417602;0,8734278295182637;0,988995731747108;0,8105143593681855;0,951862210862239;0,758316010400321;0,9313337831176186;0,6445878599569485;0,8526611374237124;0,449137041869239;0,7055385015801667;0,864793907939744;0,993144156063272;0,8078261250993789;0,953663191970868;0,7319749349732049;0,9232682509382472;0,6376212326195023;0,840541450533214;0,4760293142871506;0,7454897878861019;0,8269613403985504;0,9957265638841912;0,7881697684194753;0,9689265437723804;0,7243337757710594;0,9484854320431256;0,598606452935868;0,8429427745160192;0,4597410784658878;0,6952537725028549
15;15;0,3;0,708640977245332;0,9191925928740411;0,9858860982569638;0,8396712974656302;0,9735555342020932;0,7508940363408693;0,912521089815691;0,66350535729966;0,8624904137423121;0,49040011085542795;0,7698807699069904;0,8843179956582007;0,9863567959908272;0,8098398090176901;0,952704946867194;0,762509306397824;0,9344974075369388;0,6425863143504873;0,8522219231893307;0,45374081236508806;0,7167734656864726;0,8649988666013705;0,9969569736812154;0,8178570766843746;0,9532855646366531;0,7401442365629962;0,926599640915815;0,6493630619809428;0,8332287450967847;0,4770582425763524;0,7460733125127283;0,83772319622481;0,9923987600599876;0,7904161888981205;0,9733294740006136;0,7282050854004173;0,9462745814541422;0,5982924871657466;0,8310501610321683;0,4521034701865901;0,6899815625465588
15;10;0,2;0,6968886806269071;0,9151880997721824;0,9850526350025324;0,84232414638487;0,967940671246166;0,7392421218590101;0,908895623811626;0,6467682597172124;0,8690030083980318;0,47373897553325;0,7710880583895304;0,8622139394794291;0,9904497571935792;0,8019274521613728;0,9473171514481904;0,7484555656462113;0,9299568159625076;0,6340872951199997;0,8538762701477147;0,44631590526065157;0,7117027052125375;0,8600491199132402;0,9885615471461692;0,7864505410356336;0,9510052815049252;0,7303163518870984;0,9217378803305716;0,633645542723107;0,8384229315555591;0,47172565052495435;0,749940615185148;0,81647331701591;0,9909676439301958;0,7799346324723445;0,9721149543780668;0,719834772084431;0,9497197628160494;0,5835446204896528;0,8384480436533284;0,4455373034575822;0,6918330348602373
15;10;0,3;0,6973752018423247;0,9111946019102466;0,9867195615113952;0,8279706719386907;0,96966954389424;0,742423703751781;0,9098373055001704;0,64709662167885;0,8681369887851826;0,4780231790531549;0,7755322945555656;0,8671201142596908;0,9918026586595314;0,8094574281752285;0,9512995656410708;0,7464556804762393;0,9276655005770116;0,6295190311808716;0,8511945845066885;0,44822395233762974;0,7037690527125224;0,8608313605942652;0,9893223037258652;0,7946315426533708;0,9517529730527764;0,7285733978576878;0,9265839927668604;0,6335451918684073;0,8309467429237216;0,4676275076618918;0,7441470566747806;0,8224383470606065;0,9943053582784698;0,7806820125233557;0,9733762401026212;0,7242595615795848;0,9455374968545356;0,5831004299511355;0,8331237472879289;0,4443297003338047;0,688274386574991
15;5;0,2;0,6808231970638816;0,8897868062568529;0,9833800662402362;0,8099471065875022;0,9653497893380022;0,7272917367554151;0,9093327098083714;0,6312547259282079;0,8684771350010557;0,4788644623366555;0,7682053355408145;0,8326732535949586;0,99119930171553;0,7856145837932772;0,9473249814001956;0,7162082238394866;0,9273031357338783;0,6163653019490618;0,8496012403305885;0,4364677167102814;0,7061182199152244;0,8403189320942243;0,9870781368175436;0,7818746040709205;0,9517824460869588;0,7096318438685232;0,9204420491019374;0,6224985407115866;0,8345419347565978;0,46494495441599526;0,7471029004904002;0,8137977473482889;0,993351364236832;0,7550943678434922;0,97133129675297;0,6954911095660151;0,9475020770715292;0,5757293735827671;0,8354097537681042;0,4326085500241188;0,6918823142907176
15;5;0,3;0,6804388391635964;0,8982300810888286;0,984196596745193;0,8000215374323286;0,969658605823405;0,7120990731865718;0,9088538158473072;0,6184032940880694;0,8572458235845055;0,47393663997343055;0,7590857601837255;0,8553148232147991;0,986499682188108;0,7765321044527236;0,9490201416934052;0,7157978148848161;0,9290808126789118;0,6078842250353411;0,844647710889421;0,43457268712175273;0,6969028202408042;0,8421580298935368;0,990848334244989;0,7988168272562165;0,9532956156007796;0,7214442184376331;0,9216662311265243;0,6232735102557331;0,833313355144792;0,45919304514772663;0,7429860478510377;0,8125914164908251;0,992627855062154;0,7507683032998307;0,9693849998218506;0,6998084834368578;0,9462705026608564;0,575173898491552;0,8306669394143711;0,4327567700833545;0,685576713432487
